gene_symbol,primary_pathway,secondary_pathway,role,mouse_ensembl_id,mouse_symbol
TOP2B,NHEJ,Programmed DSB,Topoisomerase (relaxes supercoiled DNA),ENSMUSG00000017485,Top2b
TDP2,NHEJ,Programmed DSB,Phosphodiesterase (resolves TOP2 cleavage complexes),ENSMUSG00000035958,Tdp2
TOP 1.00,BER,NER,Topoisomerase (relaxes supercoiled DNA),ENSMUSG00000070544,Top1
TDP1,BER,NER,Phosphodiesterase (resolves TOP1 cleavage complexes),ENSMUSG00000021177,Tdp1
PARP1,BER,NHEJ,Damage sensing (SSB and DSB),ENSMUSG00000026496,Parp1
PARP2,BER,,Damage sensing (SSB),ENSMUSG00000036023,Parp2
NEIL1,BER,,Damage sensing (glycosylase),ENSMUSG00000032298,Neil1
NEIL2,BER,,Damage sensing (glycosylase) - transcription coupled BER,ENSMUSG00000035121,Neil2
AAG,BER,,Damage sensing (glycosylase),ENSMUSG00000020287,Mpg
OGG1,BER,,Damage sensing (glycosylase),ENSMUSG00000030271,Ogg1
APE1,BER,,Endonuclease,ENSMUSG00000035960,Apex1
XRCC1,BER,NHEJ,Scaffold ,ENSMUSG00000051768,Xrcc1
FEN1,BER,,Flap Endonuclease (long patch BER),ENSMUSG00000024742,Fen1
PCNA,BER,NER,Clamp (long patch BER),ENSMUSG00000027342,Pcna
Polβ,BER,NER,Polymerase,ENSMUSG00000031536,Polb
Ligase III,BER,NER,Ligase,ENSMUSG00000020697,Lig3
APTX,BER,,Hydrolase (downstream of PARP1 in BER),ENSMUSG00000028411,Aptx
PNKP,BER,,End-processing (downstream of PARP1 in BER),ENSMUSG00000002963,Pnkp
XPC,NER,,Damage sensing,ENSMUSG00000030094,Xpc
ERCC1,NER,,Endonuclease (5' incision),ENSMUSG00000003549,Ercc1
ERCC2/XPD,NER,,TFIIH subunit - Helicase complex,ENSMUSG00000030400,Ercc2
ERCC3/XPB,NER,,TFIIH subunit - Helicase complex,ENSMUSG00000024382,Ercc3
GTF2H5/TTDA,NER,,TFIIH subunit - Helicase complex,ENSMUSG00000034345,Gtf2h5
ERCC4/XPF,NER,,Endonuclease (5' incision),ENSMUSG00000022545,Ercc4
ERCC5/XPG,NER,,Endonuclease (3' incision),ENSMUSG00000026048,Ercc5
ERCC8/CSA,NER,,Adaptor (TC-NER),ENSMUSG00000021694,Ercc8
XPA,NER,,Damage sensing (GG-NER),ENSMUSG00000028329,Xpa
CETN2,NER,,Damage sensing (GG-NER),ENSMUSG00000031347,Cetn2
RAD23B,NER,,Damage sensing (GG-NER),ENSMUSG00000028426,Rad23b
RNAPII,NER,,Polymerase (TC-NER),ENSMUSG00000005198,Polr2a
ERCC6/CSB,NER,BER,Damage sensing (TC-NER),ENSMUSG00000054051,Ercc6
Pold,BER,NER,Polymerase (long patch BER and NER),ENSMUSG00000038644,Pold1
